Algorithm,Array,Size,Average (μs),Min (μs),Max (μs),Std Dev (μs),Average (ms)
Bubble Sort,Arr1 (n=5),5,2.72,1.2,7.1,2.2498,0.00272
Bubble Sort,Arr2 (n=10),10,2.52,1.7,4.9,1.2007,0.00252
Bubble Sort,Arr3 (n=50),50,7.16,5.2,12.3,2.6763,0.00716
Bubble Sort,Arr4 (n=100),100,10.18,9.8,11,0.44,0.01018
Selection Sort,Arr1 (n=5),5,3.82,3,6.4,1.309,0.00382
Selection Sort,Arr2 (n=10),10,6.78,6.2,7.6,0.5036,0.00678
Selection Sort,Arr3 (n=50),50,100.16,84.7,159.9,29.8741,0.10016
Selection Sort,Arr4 (n=100),100,455.14,314.9,995.6,270.2542,0.45514
Insertion Sort,Arr1 (n=5),5,5.92,4.3,10.7,2.412,0.00592
Insertion Sort,Arr2 (n=10),10,8.34,7.3,10.8,1.3063,0.00834
Insertion Sort,Arr3 (n=50),50,32.52,31.3,34.1,0.9389,0.03252
Insertion Sort,Arr4 (n=100),100,64.72,62.3,66.5,1.357,0.06472
Merge Sort,Arr1 (n=5),5,26.42,22.7,35.8,4.8043,0.02642
Merge Sort,Arr2 (n=10),10,54.78,46,70.6,8.3404,0.05478
Merge Sort,Arr3 (n=50),50,320.66,295.3,371.8,28.3391,0.32066
Merge Sort,Arr4 (n=100),100,336.22,237.2,390.8,54.7212,0.33622
